用户id,用户性别,用户职业,用户教育程度,用户婚姻状态,用户户口类型,收入次数,总收入,支出次数,总支出,工资收入次数,总工资,浏览次数,平均上期账单金额,平均上期还款金额,信用卡额度,平均本期账单余额,平均本期账单最低还款额,平均消费笔数,平均本期账单金额,平均调整金额,平均循环利息,平均可用余额,平均预借现金额度,是否逾期
6965,1,2,4,3,2,75.0,972.8502279999997,289.0,3234.531975000004,0.0,0.0,1710,10.00265875,12.733206,19.971270999999998,19.9576305,17.220095249999996,10.75,18.825106750000003,0.0,15.520680500000001,0.0,19.624697,0
1265,1,3,4,3,1,125.0,1708.206195000001,294.0,3662.4570630000017,0.0,0.0,420,17.71568637037037,14.19159481481481,19.973385333333322,19.909122777777778,17.866452777777774,1.4444444444444444,19.007283888888885,0.0,5.17548325925926,0.0,9.702118277777778,0
2583,2,2,2,1,1,213.0,2736.475318,618.0,7064.310678000004,0.0,0.0,702,15.192264416666665,15.265601208333331,18.3071255,17.736937166666667,10.292787791666667,1.7916666666666667,17.19913358333333,0.0,6.478271166666666,0.0,11.014650416666669,0
29165,1,2,4,1,4,189.0,2277.6078070000003,473.0,5099.861165,14.0,202.630532,783,-6.973236,12.852082000000001,19.740221333333334,17.92151966666667,15.902257333333333,0.0,12.969975333333332,0.0,0.0,0.0,6.001719333333333,0
2443,1,4,4,3,1,252.0,3020.288782000001,341.0,3762.790364000002,0.0,0.0,671,16.759481698113206,4.151986283018867,17.309158446540867,19.39713413207547,18.206423257861637,2.251572327044025,15.892834496855338,0.22993111320754717,4.082357855345912,0.0,10.873985811320752,0
590,1,2,4,1,1,281.0,3684.672002000002,842.0,8621.44396700005,0.0,0.0,60,20.439154090909092,16.747490181818183,20.441273999999996,20.441621090909095,18.41304481818182,3.090909090909091,0.0,0.0,0.0,0.0,12.566989909090909,1
10313,1,3,4,2,2,357.0,4989.658800999995,787.0,9426.326844000001,0.0,0.0,549,13.449688611111114,14.37653788888889,18.371968055555552,16.360282555555553,13.774421666666669,1.3888888888888888,14.414820388888892,0.0,0.0,0.0,17.23548344444444,0
55354,1,2,2,3,2,130.0,1609.7734610000002,401.0,4159.411862000012,0.0,0.0,1529,14.482476341818181,14.816334450909084,19.61852305818182,18.8256538,17.266331512727273,0.2109090909090909,12.336383530909096,0.0,0.2262983709090909,1.1394490981818184,13.987765723636358,0
20235,1,2,2,1,3,192.0,2470.187699,490.0,5780.359434000002,6.0,85.07151999999999,264,10.69729392857143,17.552526928571428,15.001953785714283,14.539439000000002,12.730261714285714,1.9285714285714286,19.015747928571432,0.0,0.0,0.0,0.0,0
694,1,2,3,3,3,190.0,2751.501769000004,379.0,4771.125708000005,0.0,0.0,110,18.555516451977393,15.713064350282494,16.014716299435026,20.52684609039549,18.361135395480215,1.5480225988700564,17.217777259887022,-0.060025045197740115,6.066083327683614,0.8276480367231639,5.266980799435022,1
5264,1,3,3,1,4,593.0,7491.525478999987,1269.0,13736.093719999997,0.0,0.0,3920,5.122665854166667,12.724794833333332,10.812315083333337,15.212356291666667,13.89521172916666,0.3125,15.097956812499996,0.0,2.0811290000000002,0.0,0.0,0
43946,1,3,3,3,1,192.0,2588.964648000002,431.0,5309.979798999994,0.0,0.0,550,18.38022296610169,17.411467864406777,20.296086372881366,18.913046677966104,17.472262525423726,4.067796610169491,19.17277052542372,0.0,0.0,0.0,3.6833517966101694,0
22556,1,2,2,1,1,594.0,8118.465433999981,1092.0,14072.980178999995,22.0,295.906816,112,18.030463385321106,16.03208185321102,21.344321284403673,21.365545495412846,19.460639660550456,1.3761467889908257,14.781854935779812,0.0,2.3943469266055044,0.5581109174311926,11.98286453211009,0
